trdmn	mkt_rf	smb	hml	umd	rmw	cma	rf	smb_equal	hml_equal	umd_equal	rmw_equal	cma_equal
1997-02	0.067342704	0.0334619104	-0.031456414	-0.09928252	-0.042968626	0.016140267	0.006022	0.0291478458	-0.036391388	-0.107208849	-0.068919584	0.0396490181
1997-03	0.1917561054	0.0240606482	-0.037928596	0.0026266987	0.0575187833	-0.094089343	0.006022	0.035705996	-0.054750833	-0.025021003	0.0132873928	-0.074100731
1997-04	0.110803336	-0.079280859	-0.045854307	0.0423124985	0.1147774245	-0.151464359	0.006022	-0.041657988	-0.054651096	0.014254056	0.0606847437	-0.111127223
1997-05	-0.086131224	-0.049294883	0.0383428546	0.0577648319	0.0944836206	-0.045349786	0.006022	-0.022313891	0.0340179432	0.0319555801	0.0449648539	-0.011157854
1997-06	0.0088604802	-0.023474548	0.0097757733	0.1113090706	0.0555166307	-0.075720861	0.006022	-0.003440769	0.0057616026	0.0845062233	0.0269905511	-0.031960129
1997-07	-0.089252549	0.0494519112	0.0374560721	-0.081689424	-0.032424004	-0.002304067	0.006022	0.0383026609	0.0228357635	-0.072735616	-0.028429465	0.0186921422
1997-08	-0.002554936	0.019627271	0.1007923654	-0.142124539	-0.1055561	0.0735812001	0.006022	0.0059772709	0.0864647401	-0.112681324	-0.080908777	0.0455516819
1997-09	-0.133943243	0.0368453422	-0.031352418	-0.016723171	0.0155923358	-0.00520216	0.006022	0.0543657529	-0.026483015	-0.039888786	-0.020527737	0.0448396796
1997-10	0.1203442913	-0.044937582	-0.039035017	0.0255469386	0.0352289025	-0.002125443	0.004606	-0.036469227	-0.038197764	0.001693341	0.0264761066	-0.023197839
1997-11	-0.054623749	0.0331376258	-0.020126349	0.0287690601	0.0213344758	-0.011683101	0.004606	0.0395855326	-0.010859119	0.0277589874	0.0053034905	0.0104656628
1997-12	0.0423981463	0.0422196831	-0.048750629	0.0619643049	0.047480708	-0.066518227	0.004606	0.0454423534	-0.049265748	0.0294936749	0.0255522502	-0.011047428
1998-01	0.0257201146	0.0331669765	-0.002646086	0.0196613302	0.0080394665	-0.003508435	0.004606	0.0241229877	-0.005637028	0.0119641573	-0.001159471	0.0107819325
1998-02	-0.020782519	0.0238973998	0.0443830392	-0.076734829	-0.079609089	0.0382362831	0.004606	0.0184578423	0.044978814	-0.047492885	-0.061272082	0.0175733049
1998-03	0.0262446759	0.0490677925	0.0096517546	0.0095065748	-0.032576502	0.0582226105	0.004249	0.0573042059	0.0166244015	0.0253593175	-0.053196314	0.0805342087
1998-04	0.0850515375	0.0624388472	-0.002843374	0.0031953323	-0.005767427	0.0162087133	0.004249	0.044657589	0.0106735471	0.0202159963	0.013366785	0.0160387596
1998-05	0.0632190297	0.0731779158	0.0363588782	-0.027410073	-0.085004902	0.0486511745	0.004249	0.0483869931	0.0373268216	-0.038600015	-0.071000613	0.0395937236
1998-06	-0.078245298	0.0106988696	-0.029595524	0.0516402528	0.0127645812	0.0043739916	0.004249	0.0027040162	-0.034406876	0.0329225503	0.0504899571	-0.011536728
1998-07	-0.01294068	0.0305174571	0.0221853961	0.0098655225	-0.019118299	0.0258768986	0.003891	0.0335438003	0.0134364567	0.0123473871	-0.033241413	0.0488145954
1998-08	-0.12962574	0.0267399978	-0.008487404	0.0777007111	-0.030909847	0.0150289173	0.003891	0.0269650307	-0.000325395	0.0736531822	-0.032033954	0.0328582339
1998-09	0.0728366451	0.0880143672	0.0057437495	-0.005210828	-0.054584435	0.0436292074	0.003891	0.0842537015	-0.00898617	-0.021911369	-0.037458091	0.0252065789
1998-10	-0.014168281	0.0472121025	-0.04512125	0.0343177287	-0.00711954	-0.005544161	0.003891	0.0426383937	-0.046063185	0.0189049105	-0.003007143	-0.014132071
1998-11	0.0124967527	-0.017620339	-0.026495592	-0.031749191	0.0342273328	-0.022684427	0.003891	-0.017963214	-0.015628857	-0.028755107	0.0236329502	-0.012745754
1998-12	-0.090813317	-0.027001964	-0.004753416	-0.033285118	0.0299572868	-0.015985185	0.003097	-0.026103291	0.0001614612	-0.04010935	0.0289825308	-0.020838897
1999-01	-0.007500713	0.01493358	0.0077615004	0.0124514819	-0.01335711	-0.012439156	0.003097	0.0106202697	0.008258778	0.0213769089	-0.011972223	-0.004729268
1999-02	-0.044761525	0.0094676506	-0.002702581	0.0207479847	0.0076620309	0.0005819883	0.003097	0.013673734	0.0001763106	0.0228960054	0.0065132376	0.0038072481
1999-03	0.0648053838	0.067325296	0.0593755799	-0.010724352	-0.091756304	0.0702815797	0.003097	0.0658046544	0.0522773597	-0.026191716	-0.094460856	0.0748234739
1999-04	-0.040707831	-0.007288607	0.0303737932	-0.004299354	-0.007140463	-0.000475103	0.003097	-0.012243068	0.0295180066	-0.005837926	-0.005780992	-0.010386589
1999-05	0.1031355445	-0.023705048	-0.061986244	0.0248057464	0.0206389383	-0.03883157	0.003097	-0.014674698	-0.048446557	0.0423719543	0.0124157644	-0.055394304
1999-06	0.3627292113	-0.096532573	-0.007712719	0.0507982662	0.0134509104	0.0252899239	0.001856	-0.075538131	0.0026321474	0.0265655773	0.0291187358	0.0300420259
1999-07	-0.068912034	0.0313360644	0.0021887353	-0.006535932	-0.010880247	0.0304265317	0.001856	0.0329571498	-0.000872922	-0.022419704	-0.023508624	0.0392309451
1999-08	0.006499223	0.0716475502	0.0421125438	-0.05323931	-0.059977676	0.0676770777	0.001856	0.0620290889	0.037570169	-0.041733695	-0.057879922	0.0582366281
1999-09	-0.031113805	0.0052926739	-0.015493928	-0.020392605	0.0025946736	-0.011613772	0.001856	0.0062546467	-0.01618417	-0.02709106	0.0039574686	-0.011281711
1999-10	-0.052886962	0.0271707395	-0.005727154	-0.0224468	-0.014483217	0.0063059136	0.001856	0.0235240721	-0.007368374	-0.016848919	-0.009488077	0.0074520517
1999-11	-0.044541732	0.033371138	0.0043138337	-0.024825699	-0.021876094	0.0123575458	0.001856	0.0317886324	0.0031180052	-0.025987673	-0.023065407	0.0096774935
1999-12	-0.048543674	-0.017469353	-0.050474704	0.0359488775	0.0379459341	-0.031364328	0.001856	-0.012286987	-0.039251233	0.0347736414	0.0344962502	-0.016113726
2000-01	0.170362874	-0.03341066	-0.087563337	0.2129672138	0.0197058997	-0.034713648	0.001856	-0.035366569	-0.067505069	0.1822452618	0.0361501343	-0.040682664
2000-02	0.1262946603	0.0301501033	-0.00041817	0.0222555556	-0.017309538	0.0411642315	0.001856	0.0303360456	-0.0032475	0.0110385414	-0.029535269	0.0182555407
2000-03	0.0521725074	0.0861944087	0.03761925	-0.113611081	-0.073698703	0.0511091501	0.001856	0.0839493831	0.0236858316	-0.128430055	-0.077955356	0.0912553289
2000-04	0.0108438874	-0.006829104	-0.000645082	-0.044750498	-0.008343064	-0.010504067	0.001856	-0.002416879	0.0076518593	-0.040083249	0.0027276348	-0.006585163
2000-05	0.0254020036	0.0178782771	0.0258265983	-0.008286892	-0.020856063	0.0036956044	0.001856	0.0155214704	0.0248906809	0.0007178152	-0.015893562	-0.00562273
2000-06	0.0221409577	-0.021282413	0.0254404719	-0.062484936	0.0179040538	0.0030799989	0.001856	-0.028597151	0.0161830987	-0.055360831	0.0292179262	-0.011694724
2000-07	0.0433162248	0.0357694578	0.0263619971	-0.013161342	-0.019981798	0.0465815629	0.001856	0.0360077034	0.0290487251	-0.035703285	-0.038531725	0.0571318773
2000-08	-0.006947659	0.0476042598	-0.004633101	0.0035733701	-0.036540382	0.0145644155	0.001856	0.0451673757	-0.007708545	-0.011431148	-0.052779892	0.0367858144
2000-09	-0.049616604	0.026235123	-0.037813045	0.0414979104	-0.014278387	0.0146665795	0.001856	0.0254033427	-0.038047711	0.0411861589	-0.022108464	0.026826563
2000-10	0.0200083248	0.0355753716	0.0323988605	-0.025399159	-0.020490099	0.0207558219	0.001856	0.0341077452	0.0297537756	-0.029587689	-0.017826451	0.0195000618
2000-11	0.0544505176	0.0082765391	0.009167382	-0.021408597	0.0076913596	0.0063159276	0.001856	0.0088865037	0.0142254578	-0.025305479	0.0055835586	0.0061504537
2000-12	-0.00547003	0.0068798323	0.007345375	-0.011673761	0.0183619051	-0.007473686	0.001856	0.0076210011	0.0044915666	-0.023547019	0.0207712001	-0.010415936
2001-01	-0.011372325	-0.006089436	0.041194383	-0.000564049	0.005139801	0.0028639367	0.001856	-0.011565739	0.038192693	-0.008684663	0.0082958386	-0.004010557
2001-02	-0.061454889	-0.014036415	0.0322932242	0.0256219811	0.027719238	-0.007469713	0.001856	-0.016120262	0.0335881247	0.0243243128	0.0351271869	-0.016730753
2001-03	0.0735459118	0.0340059709	0.0098473139	-0.010059865	-0.021273051	0.002187976	0.001856	0.0327389601	0.0071774677	0.0004369962	-0.023610291	0.0111551346
2001-04	-0.008835657	0.0303915892	-0.034351861	0.0020438766	-0.023722792	0.0172049909	0.001856	0.0305801313	-0.031626437	0.0019567714	-0.03363202	0.0230037034
2001-05	0.0307242816	0.0641373918	-0.004393979	0.0246791471	-0.036777401	0.0230971225	0.001856	0.0626913898	-0.005395116	0.0232540065	-0.044068029	0.0292020355
